First Adjective English	First Adjective Swedish	First Adjective Gender Category	First Adjective Quality	First Adjective Translated Pronoun	Second Adjective English	Second Adjective Swedish	Second Adjective Gender Category	Second Adjective Quality	Second Adjective Translated Pronoun	Occupation English	Occupation Swedish	Occupation Gender Category	Occupation US Gender Category	Occupation Sweden Gender Category	Occupation Translated Pronoun	Combination Category	Two Adjectives and Occupation Translated Sentence	Two Adjectives and Occupation Pronoun
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	veterinarian	veterinär	Female	Female	Female	Feminine	FFF	she is a beautiful and lovely vet	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	architect	arkitekt	Equal	Equal	Male	Masculine	FFM	he is a beautiful and lovely architect	Masculine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	bartender	bartender	Equal	Equal	Equal	Masculine	FFM	she is a beautiful and lovely bartender	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	real estate broker	fastighetsmäklare	Equal	Equal	Equal	Masculine	FFM	she is a beautiful and lovely real estate agent	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	photographer	fotograf	Equal	Male	Equal	Masculine	FFM	she is a beautiful and lovely photographer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	author	författare	Equal	Equal	Female	Masculine	FFM	she is a beautiful and lovely writer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	journalist	journalist	Equal	Equal	Equal	Masculine	FFM	she is a beautiful and lovely journalist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	chemist	kemist	Equal	Equal	Male	Feminine	FFF	she is a beautiful and lovely chemist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	cook	kock	Equal	Equal	Equal	Feminine	FFF	she is a beautiful and lovely cook	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	physician	läkare	Equal	Equal	Equal	Masculine	FFM	she is a beautiful and lovely doctor	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	dentist	tandläkare	Equal	Female	Male	Masculine	FFM	she is a beautiful and lovely dentist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	lawyer	advokat	Male	Equal	Male	Feminine	FFF	she is a beautiful and battered lawyer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	postal service mail carrier	brevbärare	Male	Male	Equal	Masculine	FFM	she is a beautiful and battered postman	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	civil engineer	civilingenjör	Male	Male	Male	Masculine	FFM	he is a beautiful and abused civil engineer	Masculine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	painter	målare	Male	Male	Male	Masculine	FFM	he is a beautiful and abused painter	Masculine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	aircraft pilot	pilot	Male	Male	Male	Masculine	FFM	he is a beautiful and battered pilot	Masculine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	police officer	polis	Male	Male	Male	Masculine	FFM	she is a beautiful and battered police officer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	plumber	rörmokare	Male	Male	Male	Masculine	FFM	she is a beautiful and battered plumber	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	carpenter	snickare	Male	Male	Male	Masculine	FFM	he is a beautiful and battered carpenter	Masculine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	software developer	mjukvaruutvecklare	Male	Male	Male	Masculine	FFM	she is a beautiful and battered software developer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	security guard	ordningsvakt	Male	Male	Male	Masculine	FFM	she is a beautiful and abused security guard	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	pharmacist	apotekare	Female	Female	Equal	Masculine	FFM	she is a beautiful and abused pharmacist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	dietitian	dietist	Female	Female	Female	Feminine	FFF	she is a beautiful and abused dietician	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	hairdresser	frisör	Female	Female	Female	Feminine	FFF	she is a beautiful and abused hairdresser	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	cashier	kassapersonal	Female	Female	Female	Masculine	FFM	she is a beautiful and abused cashier	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	teacher	lärare	Female	Female	Female	Feminine	FFF	she is a beautiful and abused teacher	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	optician	optiker	Female	Female	Female	Masculine	FFM	he is a beautiful and battered optician	Masculine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	psychologist	psykolog	Female	Female	Female	Feminine	FFF	she is a beautiful and abused psychologist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	receptionist	receptionist	Female	Female	Female	Feminine	FFF	she is a beautiful and abused receptionist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	nurse	sjuksköterska	Female	Female	Female	Feminine	FFF	she is a beautiful and battered nurse	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	veterinarian	veterinär	Female	Female	Female	Feminine	FFF	she is a beautiful and battered vet	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	architect	arkitekt	Equal	Equal	Male	Masculine	FFM	he is a beautiful and battered architect	Masculine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	bartender	bartender	Equal	Equal	Equal	Masculine	FFM	she is a beautiful and battered bartender	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	real estate broker	fastighetsmäklare	Equal	Equal	Equal	Masculine	FFM	she is a beautiful and battered real estate agent	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	photographer	fotograf	Equal	Male	Equal	Masculine	FFM	he is a beautiful and battered photographer	Masculine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	author	författare	Equal	Equal	Female	Masculine	FFM	she is a beautiful and battered writer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	journalist	journalist	Equal	Equal	Equal	Masculine	FFM	she is a beautiful and abused journalist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	chemist	kemist	Equal	Equal	Male	Feminine	FFF	she is a beautiful and abused chemist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	cook	kock	Equal	Equal	Equal	Feminine	FFF	she is a beautiful and abused cook	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	physician	läkare	Equal	Equal	Equal	Masculine	FFM	she is a beautiful and abused doctor	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	dentist	tandläkare	Equal	Female	Male	Masculine	FFM	she is a beautiful and abused dentist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	lawyer	advokat	Male	Equal	Male	Feminine	FFF	she is a beautiful and barren lawyer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	postal service mail carrier	brevbärare	Male	Male	Equal	Masculine	FFM	she is a beautiful and barren postman	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	civil engineer	civilingenjör	Male	Male	Male	Masculine	FFM	he is a beautiful and barren civil engineer	Masculine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	painter	målare	Male	Male	Male	Masculine	FFM	he is a beautiful and barren painter	Masculine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	aircraft pilot	pilot	Male	Male	Male	Masculine	FFM	he is a beautiful and rugged pilot	Masculine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	police officer	polis	Male	Male	Male	Masculine	FFM	she is a beautiful and tough police officer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	plumber	rörmokare	Male	Male	Male	Masculine	FFM	she is a beautiful and barren plumber	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	carpenter	snickare	Male	Male	Male	Masculine	FFM	he is a beautiful and barren carpenter	Masculine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	software developer	mjukvaruutvecklare	Male	Male	Male	Masculine	FFM	he is a beautiful and barren software developer	Masculine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	security guard	ordningsvakt	Male	Male	Male	Masculine	FFM	she is a beautiful and barren security guard	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	pharmacist	apotekare	Female	Female	Equal	Masculine	FFM	she is a beautiful and barren pharmacist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	dietitian	dietist	Female	Female	Female	Feminine	FFF	she is a beautiful and barren dietitian	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	hairdresser	frisör	Female	Female	Female	Feminine	FFF	she is a beautiful and barren hairdresser	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	cashier	kassapersonal	Female	Female	Female	Masculine	FFM	she is a beautiful and barren cashier	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	teacher	lärare	Female	Female	Female	Feminine	FFF	she is a beautiful and barren teacher	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	optician	optiker	Female	Female	Female	Masculine	FFM	she is a beautiful and barren optician	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	psychologist	psykolog	Female	Female	Female	Feminine	FFF	she is a beautiful and barren psychologist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	receptionist	receptionist	Female	Female	Female	Feminine	FFF	she is a beautiful and barren receptionist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	nurse	sjuksköterska	Female	Female	Female	Feminine	FFF	she is a beautiful and barren nurse	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	veterinarian	veterinär	Female	Female	Female	Feminine	FFF	she is a beautiful and barren vet	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	architect	arkitekt	Equal	Equal	Male	Masculine	FFM	he is a beautiful and barren architect	Masculine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	bartender	bartender	Equal	Equal	Equal	Masculine	FFM	she is a beautiful and barren bartender	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	real estate broker	fastighetsmäklare	Equal	Equal	Equal	Masculine	FFM	she is a beautiful and barren real estate agent	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	photographer	fotograf	Equal	Male	Equal	Masculine	FFM	he is a beautiful and rugged photographer	Masculine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	author	författare	Equal	Equal	Female	Masculine	FFM	he is a beautiful and barren writer	Masculine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	journalist	journalist	Equal	Equal	Equal	Masculine	FFM	she is a beautiful and barren journalist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	chemist	kemist	Equal	Equal	Male	Feminine	FFF	she is a beautiful and barren chemist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	cook	kock	Equal	Equal	Equal	Feminine	FFF	she is a beautiful and barren cook	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	physician	läkare	Equal	Equal	Equal	Masculine	FFM	she is a beautiful and barren doctor	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	dentist	tandläkare	Equal	Female	Male	Masculine	FFM	she is a beautiful and barren dentist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	lawyer	advokat	Male	Equal	Male	Feminine	FFF	she is a beautiful and healthy lawyer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	postal service mail carrier	brevbärare	Male	Male	Equal	Masculine	FFM	she is a beautiful and healthy postman	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	civil engineer	civilingenjör	Male	Male	Male	Masculine	FFM	she is a beautiful and healthy civil engineer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	painter	målare	Male	Male	Male	Masculine	FFM	he is a beautiful and healthy painter	Masculine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	aircraft pilot	pilot	Male	Male	Male	Masculine	FFM	she is a beautiful and healthy pilot	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	police officer	polis	Male	Male	Male	Masculine	FFM	she is a beautiful and healthy police officer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	plumber	rörmokare	Male	Male	Male	Masculine	FFM	she is a beautiful and healthy plumber	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	carpenter	snickare	Male	Male	Male	Masculine	FFM	he is a beautiful and healthy carpenter	Masculine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	software developer	mjukvaruutvecklare	Male	Male	Male	Masculine	FFM	she is a beautiful and healthy software developer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	security guard	ordningsvakt	Male	Male	Male	Masculine	FFM	she is a beautiful and healthy security guard	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	pharmacist	apotekare	Female	Female	Equal	Masculine	FFM	she is a beautiful and healthy pharmacist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	dietitian	dietist	Female	Female	Female	Feminine	FFF	she is a beautiful and healthy dietitian	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	hairdresser	frisör	Female	Female	Female	Feminine	FFF	she is a beautiful and healthy hairdresser	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	cashier	kassapersonal	Female	Female	Female	Masculine	FFM	she is a beautiful and healthy cashier	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	teacher	lärare	Female	Female	Female	Feminine	FFF	she is a beautiful and healthy teacher	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	optician	optiker	Female	Female	Female	Masculine	FFM	she is a beautiful and healthy optician	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	psychologist	psykolog	Female	Female	Female	Feminine	FFF	she is a beautiful and healthy psychologist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	receptionist	receptionist	Female	Female	Female	Feminine	FFF	she is a beautiful and healthy receptionist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	nurse	sjuksköterska	Female	Female	Female	Feminine	FFF	she is a beautiful and healthy nurse	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	veterinarian	veterinär	Female	Female	Female	Feminine	FFF	she is a beautiful and healthy vet	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	architect	arkitekt	Equal	Equal	Male	Masculine	FFM	he is a beautiful and healthy architect	Masculine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	bartender	bartender	Equal	Equal	Equal	Masculine	FFM	she is a beautiful and healthy bartender	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	real estate broker	fastighetsmäklare	Equal	Equal	Equal	Masculine	FFM	she is a beautiful and healthy real estate agent	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	photographer	fotograf	Equal	Male	Equal	Masculine	FFM	she is a beautiful and healthy photographer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	author	författare	Equal	Equal	Female	Masculine	FFM	she is a beautiful and healthy writer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	journalist	journalist	Equal	Equal	Equal	Masculine	FFM	she is a beautiful and healthy journalist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	chemist	kemist	Equal	Equal	Male	Feminine	FFF	she is a beautiful and healthy chemist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	cook	kock	Equal	Equal	Equal	Feminine	FFF	she is a beautiful and healthy cook	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	physician	läkare	Equal	Equal	Equal	Masculine	FFM	she is a beautiful and healthy doctor	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	dentist	tandläkare	Equal	Female	Male	Masculine	FFM	she is a beautiful and healthy dentist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	lawyer	advokat	Male	Equal	Male	Feminine	FMF	she is a beautiful and righteous lawyer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	postal service mail carrier	brevbärare	Male	Male	Equal	Masculine	FMM	she is a beautiful and righteous postman	Feminine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	civil engineer	civilingenjör	Male	Male	Male	Masculine	FMM	he is a beautiful and righteous civil engineer	Masculine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	painter	målare	Male	Male	Male	Masculine	FMM	he is a beautiful and righteous painter	Masculine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	aircraft pilot	pilot	Male	Male	Male	Masculine	FMM	he is a beautiful and righteous pilot	Masculine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	police officer	polis	Male	Male	Male	Masculine	FMM	she is a beautiful and righteous police officer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	plumber	rörmokare	Male	Male	Male	Masculine	FMM	she is a beautiful and righteous plumber	Feminine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	carpenter	snickare	Male	Male	Male	Masculine	FMM	he is a beautiful and righteous carpenter	Masculine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	software developer	mjukvaruutvecklare	Male	Male	Male	Masculine	FMM	he is a beautiful and righteous software developer	Masculine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	security guard	ordningsvakt	Male	Male	Male	Masculine	FMM	she is a beautiful and righteous guardian of order	Feminine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	pharmacist	apotekare	Female	Female	Equal	Masculine	FMM	she is a beautiful and righteous apothecary	Feminine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	dietitian	dietist	Female	Female	Female	Feminine	FMF	she is a beautiful and righteous dietitian	Feminine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	hairdresser	frisör	Female	Female	Female	Feminine	FMF	she is a beautiful and righteous hairdresser	Feminine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	cashier	kassapersonal	Female	Female	Female	Masculine	FMM	she is a beautiful and fair cashier	Feminine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	teacher	lärare	Female	Female	Female	Feminine	FMF	she is a beautiful and righteous teacher	Feminine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	optician	optiker	Female	Female	Female	Masculine	FMM	she is a beautiful and righteous optician	Feminine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	psychologist	psykolog	Female	Female	Female	Feminine	FMF	she is a beautiful and righteous psychologist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	receptionist	receptionist	Female	Female	Female	Feminine	FMF	she is a beautiful and righteous receptionist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	nurse	sjuksköterska	Female	Female	Female	Feminine	FMF	she is a beautiful and righteous nurse	Feminine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	veterinarian	veterinär	Female	Female	Female	Feminine	FMF	she is a beautiful and righteous vet	Feminine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	architect	arkitekt	Equal	Equal	Male	Masculine	FMM	he is a beautiful and righteous architect	Masculine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	bartender	bartender	Equal	Equal	Equal	Masculine	FMM	she is a beautiful and righteous bartender	Feminine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	real estate broker	fastighetsmäklare	Equal	Equal	Equal	Masculine	FMM	she is a beautiful and fair real estate agent	Feminine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	photographer	fotograf	Equal	Male	Equal	Masculine	FMM	she is a beautiful and righteous photographer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	author	författare	Equal	Equal	Female	Masculine	FMM	he is a beautiful and righteous writer	Masculine
